gene_id	gene_name	SRR1576457	SRR1576458	SRR1576459	SRR1576460	SRR1576461	SRR1576462	SRR1576463	SRR1576464	SRR1576465	SRR1576514	SRR1576515	SRR1576516
FBgn0024912	agt	72.9	67.104	69.888	67.295	82.597	87.554	95.19	107.578	88.168	117.396	72.609	60.731
FBgn0024913	Actbeta	344	232	333	322	279	370	424	451	409	238	172	182
FBgn0024920	Ts	38	20	44	48	47	59	32	25	37	55	37	44
FBgn0024921	Tnpo	1927	1390	1904	2357	2075	2270	2265	1730.001	1820	2218	1668.999	1748.001
FBgn0024941	RSG7	750	606	788	724	641	813	975	962	819	560	402	465
FBgn0024943	PIP82	1303	851	1091	1161	813	915	1505	1158	1065	542	320	374
FBgn0024944	Oamb	335	222.999	320	307	271	283.999	391	387	345	243.001	211	230
FBgn0024945	NitFhit	971	816	1132	931	927	1049	977	797	903	967	837	770
FBgn0024947	NTPase	3008	1791	2431	3316	2702	3129	3252	2326.001	2411.001	3056	2695.999	2728.999
FBgn0024956	Mat1	171	129	191	159	187	152	162	186	156	153	135	122
FBgn0024957	Irp-1B	2759	1840	2384	2894	2487	2987	2760	2224	2099	3400	2796	2258
FBgn0024958	Irp-1A	630	480	642	511	553	677	663	646	607	768	604	491
FBgn0024963	GluClalpha	2451	2163.001	2426	2364.999	1916.001	2292.999	2945.002	2828	2362.999	2177	1725	1946.001
FBgn0024973	CG2701	975	658	1080	861	927	821	796	768	842	881	697	695
FBgn0024975	CG2712	171	151	213	151	173	180	170	173	172	178	161	174
FBgn0024980	Syx4	384	267	415	422	427	461	374	353	389	424	410	332
FBgn0024983	CG4293	462	376.001	583	468	462	510	448	460.999	431	566	524	452
FBgn0024984	CG3457	2	0	0	1	0	1	0	0	0	0	0	0
FBgn0024985	Rilpl	2468	1983	2256	2831	2271	2691	2654	2249	2086	2487	1923	2575
FBgn0024986	CG3719	1206	743	1182	1217	1029	1179	1308	979	1164	1047	759	882
FBgn0024987	ssx	3012	2376	2715.999	3295.001	2488.999	2678	3047	2268	2234.001	2239	1875.001	2589
FBgn0024989	CG3777	367	248	308	328	201.001	265	391	317	377	430	332	422
FBgn0024991	CG2694	460	451	594	471	457	527	539	475	561	532	489	456
FBgn0024992	Spg7	1317	1068	1431	1254	1378	1325	1350	1223	1209	1496	1149	1102
FBgn0024993	Lint-O	168	162	171	162	164	134	136	141	157	162	121	172
FBgn0024994	Ugalt	338	249	404.999	275.999	306	308	404	374	335	405.999	335	248
FBgn0024995	CG2680	878	734	1183	678	713	841	781	931	826	713	572	455
FBgn0024996	eIF2Bbeta	515	387	558	479	485	467	546	452	499	495	416	341
FBgn0024997	CG2681	363	175	288	480	450	414	363	250	269	364	279	238
FBgn0024998	CG2685	300	228	289	356	345	303	308	296	297	295	259	297
FBgn0025109	Bem46	581.288	484.894	637.431	552.143	549.571	624.465	593.987	596.244	645.613	719.086	630.083	589.974
FBgn0025111	Ant2	3623.999	3214	4891	2825.008	3016	3336	3474	3837	3917	3783.999	3328.001	2935
FBgn0025115	Acyp	940	907	1358	94	170	187	818	801	916	209	161	133
FBgn0025118	tRNA:Pro-CGG-3-1	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0025185	az2	132	118	128	136	134	181	83	87	110	106	70	94
FBgn0025186	ari-2	1017	897	1087	955	848	984	1145	1002	920	1098	865	991
FBgn0025334	PHDP	3	5	6	8	9	12	0	3	7	15	6	4
FBgn0025335	Cpes	945	618	843	884	882	964	904	822	743	947	851	676
FBgn0025336	CG4882	312	208	321	284	299	357	354	347	324	405	318	268
FBgn0025352	Mtpbeta	4848	3185	4560	4995	4177	4564	4418	3376	3536	4918	4070	3485
FBgn0025355	SuUR	412	0	487	435	79.394	0	0	0	0	0	0	0
FBgn0025360	Optix	1287.001	1289	1393	924	867	908	1083.001	1170.001	1040	859.999	715	746
FBgn0025366	Ip259	3769	2686	3596	4105	4308	4229	3430	3075	3052	3902	2868	3371
FBgn0025373	Fpps	1690	1652	1831	1532	1653	2063	1912	1712	1755	1869	1624	1681
FBgn0025378	CG3795	301	280	367	311	282	349	309	376	382	385	335	268
FBgn0025381	rush	2871.289	2139	2798.318	2933.368	2798.879	3005.82	2850.349	2442.679	2436.039	3161.919	2454.941	2647.201
FBgn0025382	Rab27	41	23	58	39	35	24	48	59	54	47	42	29
FBgn0025383	CG14780	14	10	14	23	13	13	19	14	12	10	15	15
FBgn0025387	Alms1b	1865.352	1870.677	2189.696	2466.611	2270.39	2661.85	1648.399	1676.054	1805.999	2405.153	2128.376	2646.965
FBgn0025388	Alms1a	3296.649	3123.324	3923.304	4015.389	3980.61	4278.149	2930.601	2873.946	2785.001	4256.847	3383.624	4452.036
FBgn0025390	Mur2B	1793.347	1151.081	1460	2130.058	1687.419	1737.313	1607.072	1051	1112.182	1980	1743.4	2196.097
FBgn0025391	Scgdelta	232.398	164.12	232.475	187	171	163	275.283	212	218.31	159	128.722	143
FBgn0025393	CG14795	14	10	9	22.998	16.999	14	10	8	12.999	17.998	17.998	20.996
FBgn0025394	inc	1465.001	1079.999	1222	1314.001	1133.001	1312	1334.999	1103.001	1091.001	1151.002	998.002	1135.004
FBgn0025454	Cyp6g1	58100	35431	48016	41599	35359	51060	36246	29716	25690	30378	27923	18668
FBgn0025455	CycT	5206.001	4546.001	5402	5571	5059	5953	5194.999	4514	4668	5505	4649	5286
FBgn0025456	CREG	871.001	673	993	893	974	1134	1090	1198	1107.999	1185.999	933	729
FBgn0025457	Bub3	334.894	298.971	356.471	306.875	266.788	350.903	403.995	373.962	383.965	454.738	354	292.512
FBgn0025463	Bap60	468	364	523	499	438	546	504	526	511	543	495	409
FBgn0025469	slv	377.001	339	545	284	325	359	343	525	461	388	309	255
FBgn0025519	fidipidine	359	295	408	362	332	339	362	335	328	346	330	349
FBgn0025525	bab2	1431	1072	1265	1336	1126	1134	1372	1266	1149	1508	1220	1230
FBgn0025549	unc-119	1422	1196	1535	1488	1179	1439	1469	1411	1347	1089	1014	1359
FBgn0025558	CG4101	94.226	98.505	111.877	95.847	148.499	148.32	106.761	136.606	118.77	169.327	126.902	106.833
FBgn0025571	SF1	1570.999	1215	1597	1359	1273	1144	1285	1255.999	1114	1057	884.001	923.001
FBgn0025573	PpN58A	242	190	319	289	392	350	247	277	268	424	290	238
FBgn0025574	Pli	820	589	859	695	660	726	952	893	782	750	666	564
FBgn0025578	Lcp9	3	0	2	3	0	6	1	1	2	4	8	6
FBgn0025582	eIF3e	3752	2896	3881	3470	3524	3960	3670	3098	3168	3932	3265	3250
FBgn0025583	BomS2	3652	2144	3157	1827	2775	2448	4879	3722	5205	2800	2335	1499
FBgn0025592	Gk1	1344	936	1393	1314	1377	1642	1342	1112	1164	1753	1572	1239
FBgn0025595	AkhR	477	279	443	356.001	304.999	365	455	417.001	472.001	407.999	334	268
FBgn0025608	Faf2	2452	1936	2617	2706	2319	2778	2596	2237	2271	3049	2553	2457
FBgn0025612	CG3062	644	578.68	812	643	803.86	738.295	568.692	577	600.061	792	623.741	635
FBgn0025613	CG3081	14	12.32	12	7	12.14	17.705	6.308	9	16.939	9	13.259	7
FBgn0025615	Torsin	601	445	649	615	677	744	599	585	578	674	705	543
FBgn0025616	CG13359	789	681	1010	733	874	905	791	913	918	1162	899	940
FBgn0025620	CG13360	2075	975	1690	1719	1511	1598	2451	1559	1577.355	2344	1972	1389
FBgn0025621	CG16989	757	580	924	744	802	900	686	535	607	822	548	491
FBgn0025624	CG4025	282	184	231.535	215	215	250	255	219	266	316	247	152
FBgn0025625	Sik2	522.821	388	479.091	609.88	485	553.343	577.318	521.826	479	504.983	391	395
FBgn0025626	CG4281	672	547	696	722	651	676	656	570	613	644	524	641
FBgn0025627	CG4194	11	14	15	17	19	14	18	13	9	21	17	18
FBgn0025628	CG4199	1420.69	1029.426	1381.053	1263.787	1379.668	1332.35	1423.945	1070.075	1225.846	1711.004	1050.906	884.435
FBgn0025629	CG4045	204	141	203	165	211	200	210	191	155	173	185	158
FBgn0025630	Rtca	228	153	248.998	187.997	219.991	224.992	207.999	249.999	250	225.997	188.998	160
FBgn0025631	moody	1713	1164	1442	1996	1517	1727	1681	1184.999	1157	1802	1459.001	1500
FBgn0025632	CG4313	104	70	107	88	75.999	86	93	73	94	90	62.001	67
FBgn0025633	spdi	964.001	675	985	916.999	777.999	925	1086	936	865	944	722	740.999
FBgn0025634	CG13367	414	312	382	386	370	373	353	329	335	359	313	293
FBgn0025635	Hinfp	214	177	255.001	214	205	227	222	189	199	193	156	138
FBgn0025637	SkpA	2423	1533.999	2154.999	2209	2402.001	2219.001	2244	1788.999	1916.001	2011.999	1663	1611
FBgn0025638	Roc1a	1699.001	1318	1788.999	1555	1572	1713	1781	1647.001	1633	1589.001	1392	1388
FBgn0025639	Hmt4-20	2689	2009	2530	2653	2085	2465	2659	2169	2104	2185	1754	2208
FBgn0025640	CG13369	664	494	722	837	767	773	713	706	655	887	626	627
FBgn0025641	DAAM	1433	1082.001	1381	1320	1253.001	1294	1390.001	1200.001	1238.998	1212	1066.999	1077.001
FBgn0025642	CG32812	371	375	442	308	287	364	355	399	390	328	403	335
FBgn0025643	CG3588	111	115	115.001	165	128.001	117	153	162.999	109	175	119	99
FBgn0025644	CG14424	1	0	0	0	0	0	1	1	1	1	0	1
FBgn0025645	CG3598	12	11	13	8	15	9	6	5	8	10	9	12
FBgn0025674	CycK	1075.165	957.275	1104.167	1118.617	1096.916	1182.307	1120.482	974.529	1008.746	1211.153	1014.799	1077.815
FBgn0025676	CkIIalpha-i3	144	153	153	237	176	217	191	210	176	223	203	236
FBgn0025678	CaBP1	1475	1207	1921	1633	1881	1923	1403	1510	1502	2326	1851	1452
FBgn0025679	Klf15	8	0	5	6	4	4	3	3	2	14	6	6
FBgn0025680	cry	2378	1475	2259	2002	1916	2182.728	2449	2158	2074	2483.797	1865	1449
FBgn0025681	CG3558	2159	1745	2333	2216.001	2203.999	2240	2259.001	1971	1880	2508	2047	1937.999
FBgn0025682	scf	1603	1366	1776	1728	1715	1801	1522	1323	1446	1561	1343	1402
FBgn0025684	MFS18	308	244	333	233	278	275	353	325	367	338	261	220
FBgn0025686	Amnionless	45.715	18.6	19.956	113.065	73.047	110.721	50.764	23.247	27.013	146.359	123.484	42.532
FBgn0025692	Lfg	314.524	225.052	289.81	321.451	287.89	324.444	291.835	260.196	254.969	302.597	237.801	204.645
FBgn0025693	ZnT41F	747.999	648.999	824.999	691	721	738	803.001	642	664.001	762	693.999	618
FBgn0025697	santa-maria	717.772	477.261	645.642	705.348	568.576	733.885	896.486	736.321	697.032	670.899	583.089	457.301
FBgn0025700	CG5885	2462	1944	2845	1677	1870	2422	2625	2654	2894	2859	2551	1803
FBgn0025702	Srpk79D	4696.461	4120.295	5327.109	6020	5557.758	5707.138	4936.123	4524.524	4339.533	6215.039	5327	5718.999
FBgn0025709	CNT2	81	70	69	85	85	86	85	66	55	94	103	77
FBgn0025712	CG13920	893.048	871.119	1060.837	682.128	757.207	760.135	1191.967	1368.728	1313.86	1098.908	886.64	692.052
FBgn0025716	Bap55	270	202	301	261	232	276	267	253	243	342	231	235
FBgn0025720	Ate1	763.999	658	895	599	690	780	943.001	878	935	938.001	771	675.999
FBgn0025724	beta'COP	1732	1170	1903	1285	1353	1490	1682	1606	1585	1804	1425	1219
FBgn0025725	alphaCOP	2301	1657	2392	2253	2032	2321	2469	2128	2032	2605	1938	1872
FBgn0025726	unc-13	3891.598	2783.804	3718.415	4549.232	3574.397	4704.915	4902.716	4285.91	3768.559	3506.838	2431.11	2837.257
FBgn0025739	pon	56	53	76	62	64	63	69	52	49	75	48	65
FBgn0025740	PlexB	1458.273	1184.332	1575.124	1607.003	1274.105	1664.65	1819.494	1611.047	1552.98	1626.399	1389.577	1190.034
FBgn0025741	PlexA	2555.731	1893.801	2781.794	3087.898	2631.418	3218.508	3189.064	3003.496	2941.609	3544.468	3019.001	2567.466
FBgn0025742	mtm	630	521	657	509	573	598	686	551	640	610	488	459
FBgn0025743	mbt	607	466	625	627	522	619	662	630	545	586	465	456
FBgn0025776	ind	1	3	5	1	1	1	1	2	2	1	2	1
FBgn0025777	homer	2460.999	1830.999	2453	2174.999	2192	2455.001	2494	2176.001	2244	2438	2072	2004
FBgn0025781	Cdc16	235	182	241	217	209	254	249	243	214	299	234	199
FBgn0025790	TBPH	876.999	722	1008.001	797.999	793	846.999	992	980.998	979	759.999	683	615.999
FBgn0025800	Smox	3554	2860	3660	3690	3269	3963	3734	3349	3224	3825	3118	3353
FBgn0025802	Sbf	1110	866	1309	1147	1078	1230	1191	1159	1193	1422	1099	983
FBgn0025807	Rad9	70	81	81	116	80	82	83	77	109	78	60	69
FBgn0025808	Rad17	117	77	103	101	92	95	125	109	103	107	103	77
FBgn0025809	Paf-AHalpha	392	372	452	432	426	498	444	538	510	525	507	407
FBgn0025814	Mgstl	4351.266	3941.358	5352.083	4276.447	4318.087	5541.154	5126.909	4099.398	4841.729	6362.086	6369.083	4194.552
FBgn0025815	Mcm6	141	113	159	124	154	160	147	144	114	144	117	113
FBgn0025820	JTBR	177	128	222.003	182.001	236.046	192.004	213.001	215	225	298.622	176	168.001
FBgn0025821	I-t	774	656	1042	930	991	1135	801	1040	979	1314	1111	946
FBgn0025825	HDAC3	328	0	318	277	0	0	369	329	0	0	0	239
FBgn0025827	CG6421	251	158	221	218	291	250	281	193	236	258	232	182
FBgn0025832	Fen1	64	59	89	48	75	71	75	76	74	98	71	68
FBgn0025833	CG8910	332.205	232.209	302.944	297.693	242.865	340.622	382.693	363.716	323.326	215.549	145.586	173.115
FBgn0025835	CG17707	23.067	10.013	24.045	23.062	19.175	22.201	34.831	39.11	38.16	45.502	13.039	10.084
FBgn0025836	RhoGAP1A	1862	1064	1614.999	1993	1607	1979.998	1951	1579	1401	2044	1714.999	1526
FBgn0025837	CG17636	140	108	163	164	187	209	156	185	173	201	181	152
FBgn0025838	CG2652	354	321	490	383	442	367	405	448	438	465	430	372
FBgn0025839	ND-B14.5A	5212	2642	4881	4806	5405	6255	6209	4745	5803	4855	5630	5109
FBgn0025864	Crag	2709	1895	2488	3019	2415	2972	2564	1941	1915	2633	2166	2383
FBgn0025865	Cortactin	1332	1071	1319	1397.999	1434	1492.001	1406	1147	1161	1771.001	1399.001	1313
FBgn0025866	CalpB	1124.174	917	1128.394	1163.58	1048.04	1248.504	1260.894	1148.706	1081.22	1367.984	1115	970
FBgn0025874	Meics	159	131	192	169	152	175	189	167	145	183	157	166
FBgn0025878	wrapper	136	64	117	142	101	138	119	138	94	86	65	56
FBgn0025879	Timp	1791.012	1168.006	1692.017	2041.983	1959.899	2110.011	1830.5	1579.007	1497.923	2384.021	1968.932	1581.313
FBgn0025881	snoRNA:Me18S-A1576	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0025882	snoRNA:MeU6-A47	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0025885	Inos	4765	3388	4915	4070	3827	4173	4897	4593	4878	5251	4094	3015
FBgn0025936	Eph	2036	1588	1975	2296	2045.001	2427	2390.971	2270	2056.001	2485	2204.006	1928.999
FBgn0026015	Top3beta	573	426	611.93	623	572	571	601	492	510	602	489	545
FBgn0026056	Rlip	683	450	590	584	580	608	790	578	602	535	400	427
FBgn0026058	OdsH	47	52	59	48	48	50	49	74	61	56	38	67
FBgn0026059	Mhcl	3834	2496	3313	3351.001	3089.001	2904.999	3765	2708	2848.001	2943	2258.002	2557
FBgn0026060	Mipp2	300.265	370.462	441.379	266.216	266.876	297.701	427.344	527.133	510.874	320.295	305.985	297.02
FBgn0026061	Mipp1	4563.999	2519	3111	6857.001	4999	6142	5218	2581	2993.001	5386.999	4698	4575
FBgn0026063	KP78b	758	660.093	929	638.58	794	853	642.716	814	685.319	778.889	696	884
FBgn0026064	KP78a	0	89.907	0	121.42	0	0	111.284	0	122.681	111.111	0	0
FBgn0026076	UBL3	2580	1939	2241	2288	2059	2318	2566	1977	1862	2047	1754	2114
FBgn0026077	Gasp	1542	959	1176	1058	676	901	1699	1122	1204	906	771	739
FBgn0026079	Nsun2	265	193	309	273	255	273	278	244	237	251	245	193
FBgn0026080	Tip60	388.044	293.428	408.266	403.638	371.442	407.761	442.972	360.203	380.081	458.997	362.472	365.773
FBgn0026083	tyf	3057.581	2187.808	2928.458	3251.392	2834.558	3191.216	3084.856	2663.798	2695.92	2995.003	2310.751	2513.338
FBgn0026084	cib	3125	2336.001	3217	3754	3615	4028	3412.001	2910	2859	3813.999	3276.999	3506.999
FBgn0026085	dgt4	100	71	93	86	93	109	112	120	109	121	123	102
FBgn0026086	Adar	1579.663	1085	1625.999	1640	1556.001	1809	2130.999	2035	1813.999	1985.999	1591.732	1295.708
FBgn0026088	CG14818	738	590	801	429	661	559	824	802	946	494	529	435
FBgn0026089	CG14817	491.569	401.009	632.017	467.023	461.004	492.001	559.007	576.004	568.093	530.001	496	433.001
FBgn0026090	Lamtor5	690	520	695	732	645	768	732	602	665	707	602	662
FBgn0026136	CkIIbeta2	668	709	1022	655	832	921	756	1019	950	1188	1009	781
FBgn0026141	Cdlc2	5175	5895	6226	3991	3908.001	4766	5022	4583	5158.999	5422.001	5059	4659
FBgn0026143	Cdc45	169	119	161	107	133	138	157	174	157	149	135	114
FBgn0026144	CBP	81	101	109	88	91	151	82	69	63	91	76	80
FBgn0026147	TTLL4A	9159	8718	11312.999	8961.001	9037.999	10352	8644	8953.999	8821.999	10325	9142.999	10136.001
FBgn0026148	CG12253	53	37	56	55	63	57	62	93	76	79	53	49
FBgn0026149	BCL7-like	173	137	192	164	165	179	183	191	174	164	155	137
FBgn0026150	ApepP	853	628	900	731	772	885	883	893	792	1030	920	727
FBgn0026160	tna	11244	9985	12644.022	11783	11960.999	11363.999	10927.999	10537.728	10377.043	12580.167	10814.001	10495
FBgn0026162	tRNA:Lys-TTT-2-1	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0026163	tRNA:Lys-TTT-2-2	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0026164	tRNA:Lys-TTT-2-3	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0026169	snoRNA:Psi18S-1820	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0026174	SkpD	160	153	211	161	202	225	173	185	217	267	254	213
FBgn0026175	SkpC	128	115	158	118	143	166	140	144	165	156	144	171
FBgn0026176	SkpB	801	602	1118	565	699	680	862	922	965	935	628	600
FBgn0026179	siz	3144	2056	2643.999	3944	3118	3408.999	3281	2510.999	2518	3349	2776	2820.999
FBgn0026181	Rok	1689	1139	1523.999	1826	1653	1666	1649	1202	1310	1749	1298.001	1314
FBgn0026189	promL	4757.999	4125.001	5726.001	4981	4893	5339	4928	4946.001	4800.001	5850	4913.001	4835
FBgn0026190	PH4alphaMP	18	16	36	41	46	48	27	23	23	43	51	36
FBgn0026192	par-6	942	719	1060	958	938	1014	1080	1010	1002	1123	890	744
FBgn0026196	nop5	535	436	546	442	500	488	531	465	527	461	372	412
FBgn0026197	lncRNA:noe	32573	24189	34976	38199	34526	46134	41374	32019	38707	23351	21269	23973
FBgn0026199	myo	1561	1071	1525	1753	1649	1875.001	1732	1631.001	1657	1985	1669	1361.999
FBgn0026206	mei-P26	6523	6093	7471.001	7180	7603	8840	8620	9161.001	8214	7544.999	6161.999	5684
FBgn0026207	mbo	564	468	723	693	652	731	576	687	683	902	709	654
FBgn0026238	gus	426	320	492	424.001	473.001	500	597	599	577.001	657	463	305.001
FBgn0026239	gukh	1886	1542.001	1927	2011	1634	1616.001	1845.001	1500	1480	1832	1465	1660.999
FBgn0026250	eIF1A	12510	9135	12655	10810.001	13053	12663	12795	10978	11686	12193	10101	10421
FBgn0026252	msk	2383	1668	2329	3107	2866	3092	2465	2039	2341	3381	2704	2492
FBgn0026255	clumsy	399	333	440	367	360	420	526	513	445	568	431	403
FBgn0026257	cav	284.208	284.3	402.534	335.317	349.431	402.459	307.699	340.351	335.731	470.979	352.003	336.223
FBgn0026259	eIF5B	5587	4229	6236	5176	5551.999	5180.001	5147	4695	4806.001	5358.999	4337	4728
FBgn0026261	bonsai	498	345	453	455	488	463	513	457	442	496	392	400
FBgn0026262	Taf3	2181.852	1711.221	2362.663	2328.66	2201.797	2694.765	2763.747	2990.598	2599.717	2910.667	2257.172	1886.358
FBgn0026263	bip1	151	146	212	172	219	205.687	167	193	195	199	133	147
FBgn0026268	Antdh	526	332	451	442	246	300	750	638	456	351	253	319
FBgn0026309	aft	495	401	592	404	459	439	514	634	555	555	430	371
FBgn0026313	X11L	1255	915.001	1340.001	1337	1261	1392	1311	1068.999	1139	1408	1130.999	1099
FBgn0026314	Ugt35B1	2543	1882	2817	2928	2630	3114	2793	2827	2529	3774	3139	2162
FBgn0026315	Ugt35A1	914	638	880	1069	979	1065	989	846	898	1114	1015	781
FBgn0026316	Ubc10	2495	1922	2511	2301	2150	2481	2542	2022	2186	2125	2099	2482
FBgn0026317	Tsc1	1317	860	1319	1510	1319	1289	1353	1163	1100	1615	1342	1458
FBgn0026319	Traf4	198	121	175	180.674	132.104	171	259	197	201.971	246	161.001	166.023
FBgn0026320	Tom	1	0	0	0	0	2	0	1	0	0	0	0
FBgn0026323	Tak1	1215	864	1017	1159	1017	1126	1328	973	990	1101	862	853
FBgn0026324	Taf10b	456	401	569	434	451	568	533	426	499	535	471	376
FBgn0026326	Mad1	375	285	371	310	269	298	369	346	316	311	247	298
FBgn0026361	Septin5	38	33	39	26	37	35	42	45	46	51	32	42
FBgn0026369	Sara	1345	809	1166	1256	1204	1307	1385	1137	1113	1432	1047	909
FBgn0026371	SAK	878.99	924.966	1229.228	1081.215	1166.176	1308.748	935.651	1018.211	977.028	1387.443	1158.467	1131.867
FBgn0026372	RpL23A	20262	14180	21810	24843	21650	24099	18961	19142	18425	22232	19354	18358
FBgn0026373	Polr2C	233	167	258	211	262	224	236	186	226	228	191	208
FBgn0026374	Rhp	202	116	176	268	243	340	148	169	135	224	164	127
FBgn0026375	RhoGAPp190	2199.999	1634.001	2224.999	2108	2078	2285.999	2293	2190	2019.999	2132	1627	1630
FBgn0026376	Rgl	757	448	633	810	728	817	854.001	713.001	668.001	924	750	680.999
FBgn0026378	Rep	265	177	244	242	236	270	283	257	257	304	240	213
FBgn0026379	Pten	599	500	673	665.001	667	764	721	740.001	696	944.001	772.001	639
FBgn0026380	Prosbeta3	2386	1796	2923	2058	2361	2766	2645	2957	2911	3355	2781	2101
FBgn0026384	Or59a	8	13	17	5	6	9	7	6	18	16	4	13
FBgn0026385	Or47b	3	1	1	1	0	0	5	8	4	1	0	1
FBgn0026386	Or47a	5	4	2	7.005	5	7.126	12	6	8	4	5	5.014
FBgn0026388	Or46a	1.061	1.171	4.281	1.823	1	2	8	2.254	7.466	4.965	4.701	2.663
FBgn0026389	Or43a	5	0	0	0	0	1	3	0	2	0	0	1
FBgn0026390	Or33c	0	0	0	1	1	4	0	0	2	1	0	1
FBgn0026391	Or33b	0	0	0	0	1	0	0	0	0	2	1	2
FBgn0026392	Or33a	0	0	0	0	0	0	1	1	0	1	1	1
FBgn0026393	Or43b	57.591	42.459	52.907	49.798	45.567	64.547	55.119	70.423	73.889	37.197	53.09	35.977
FBgn0026394	Or24a	0	0	0	1	2	1	0	1	0	1	0	0
FBgn0026395	Or23a	10	8	17	9	10	8	14	26	13	15	13	19
FBgn0026396	Or22c	0	0	1	1	1	2	0	0	0	1	1	0
FBgn0026397	Or22b	11	12	7	10	7	11	17	23	13	14	22	22
FBgn0026398	Or22a	2	3	3	1	2	2	0	1	4	3	1	1
FBgn0026399	Or85e	3	0	0	1	1	1	1	1	1	0	0	0
FBgn0026400	Noa36	783	607	954	678	772	680	754	597	681	755	585	654
FBgn0026401	Nipped-B	1667	1174	1822	2244	2060.001	2368	1932	1936.999	1962.999	2877	2190	1841.001
FBgn0026402	NiPp1	414	457	572	498	543	680	477	538	557	655	572	592
FBgn0026403	Ndg	203.25	156.012	197.253	183.225	164.198	176.023	186.105	202.039	183.205	202.082	146.071	115.058
FBgn0026404	Dronc	429	324	399	383	364	432	513	444	449	531	425	367
FBgn0026409	Mpcp2	27636	21337	27930	22851	25447	28226	27860	25666	25948	29778	25459	20598.001
FBgn0026411	Lim1	449	342	482	520	476	492	510	551	509	497	371	374
FBgn0026415	Idgf4	12811	8878.001	10289.001	16271.001	12524	16059	13609	9857	9485	16055.001	13469.999	11647
FBgn0026417	Hus1-like	32	26	20	14	18	27	24	24	31	24	16	17
FBgn0026418	Hsp110	4518	3715.999	4769.001	4078.999	3996.001	4507	4741	4328	4221.001	4580.001	3774.001	3670
FBgn0026427	Su(var)2-HP2	1344	1088	1371	1537	1304	1775	1490	1366	1264	1733	1335	1387
FBgn0026428	HDAC6	4373.805	3249.363	4620.115	3771.728	3760.349	3594.67	3908.194	3398.119	3668.686	3913.493	3194.865	2942.057
FBgn0026430	Grip84	629	491	676	619.001	610.001	641	569	529	474.001	680	506	583
FBgn0026431	Grip75	197.524	187.362	282.456	176.206	183.329	211.44	290.634	314.338	273.362	288.325	231.305	182.366
FBgn0026432	Grip163	245	191	314	229	231	247	264	301	249	279	245	221
FBgn0026433	Grip128	351	314	384	350	281	396	365	323	321	356	303	308
FBgn0026438	Eaat2	2167	1802	2153	1921	1740	1970	2714	2693	2311	2138.999	1583	1388
FBgn0026439	Eaat1	3693.001	1734	2892	3617.999	3215	3689.999	4555.002	2946.001	3175	4594	3732	2351.999
FBgn0026441	ear	1204	1051	1325	1359	1177	1396	1199	1191	1069	1363	1188	1314
FBgn0026479	Drp1	3747	3083	4258	3665	3600	3887	3545	3622	3696	4330	3534	3731
FBgn0026533	Dek	1575.683	1024.468	1464.274	1786.389	1603.02	1595.529	1677.093	1336.551	1307.973	1593.99	1301.89	1262.551
FBgn0026562	SPARC	3969	2181	3403	4117	3524	3622	4358	3713	4097	4608	3718	3079
FBgn0026563	CG1979	9417	8571	11497	8456	9022	10055	9507	10315	9995	11878	9703	10188
FBgn0026565	Ass	745.495	435.343	636.039	920.792	825.899	947.09	637.215	425.146	493.615	834.791	657.529	637.126
FBgn0026566	CG1307	539	500	579	575	611	661	554	559	541	609	555	557
FBgn0026570	CG5704	230	172	215	206	207	242	203	176	158	208	195	172
FBgn0026573	ADD1	835	691	879	995	976	1066	904	784	846	1029	804	868
FBgn0026575	hang	1869	1339	1770	2018.999	1764.999	1964.001	1867	1436.999	1542	1590	1284	1485.001
FBgn0026576	Pisd	1714	1248	1542	2396	2004	2609	1626	1417	1407	2462	2045.001	1788
FBgn0026577	CG8677	1998	1545	2064	2140	1873	2120	2091	1706	1801	1829	1516	1863
FBgn0026582	Hmg-2	209	157	211	200	171	189	226	170	185	193	159	183
FBgn0026592	Fie	697	524	800	746	878	1018	1008	1047	1044	986	858	567
FBgn0026593	CG5707	590	403	540	521	504	569	647	549	590	724	598	455
FBgn0026597	Axn	1178.915	955.114	1169	1177.001	1052.002	1219.582	1197.464	1055.004	970.822	1156.003	915.001	1048.129
FBgn0026598	Apc2	226.253	180.193	227.849	167.905	206.618	222.351	205.209	228.162	205.108	229.099	180.392	150.433
FBgn0026602	Adk3	1343	989	1231	948	921	931	1192	909	1113	1075	878	1002
FBgn0026616	alpha-Man-IIb	1145	882	1432.999	941.001	816	1003.999	1390	1479.083	1388.491	986	781.502	720.725
FBgn0026619	Taz	1665	1372	1868	1835	1902.001	2007.001	1601.001	1533	1612	2038	1776.999	1811.999
FBgn0026620	tacc	7835.343	6607.188	8325.894	7698.209	7439.486	7968.45	8977.802	8125.721	7720.429	9534.607	7231.964	6048.007
FBgn0026630	nes	1205.997	810.998	1241.997	1248	1351	1415.998	1311	1299.996	1283.855	1760.998	1626.997	1054
